epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,9084.9,0.54171,1.20731,0.4051,0.97326,0.96681,0.91314,0.95087,0.87438,0.95394,0.92208,0.94358,0.83021,0.42508,1.19597,0.26856,0.91795,0.005974,0.005974,0.005974
63,9224.29,0.53087,1.19717,0.39674,0.96825,0.96438,0.91935,0.95157,0.87605,0.96375,0.91736,0.94444,0.83132,0.42124,1.18076,0.26395,0.91675,0.005908,0.005908,0.005908
64,9363.92,0.53421,1.20158,0.39653,0.97212,0.96256,0.91995,0.95118,0.87745,0.96229,0.91876,0.94557,0.83451,0.42103,1.17359,0.26436,0.91671,0.005842,0.005842,0.005842
65,9503.92,0.53475,1.20227,0.39066,0.9711,0.96273,0.91564,0.95053,0.87519,0.96214,0.91618,0.94511,0.83381,0.42583,1.17463,0.26641,0.91919,0.005776,0.005776,0.005776
66,9648.85,0.53386,1.18217,0.39035,0.97002,0.95785,0.92102,0.95166,0.87616,0.9553,0.91913,0.94423,0.83328,0.42129,1.1587,0.26787,0.91494,0.00571,0.00571,0.00571
67,9788.58,0.52486,1.18305,0.38656,0.96353,0.95981,0.92198,0.95134,0.87815,0.95447,0.91808,0.94306,0.83312,0.41637,1.18015,0.26705,0.91022,0.005644,0.005644,0.005644
68,9931.89,0.52305,1.15923,0.38258,0.96394,0.96297,0.92036,0.95236,0.87839,0.96083,0.91534,0.94371,0.83339,0.41729,1.17359,0.26248,0.91235,0.005578,0.005578,0.005578
69,10074.5,0.52316,1.15993,0.38419,0.96422,0.96264,0.91903,0.95184,0.87863,0.96402,0.91543,0.94422,0.83459,0.41807,1.18241,0.26494,0.91396,0.005512,0.005512,0.005512
70,10217.3,0.52283,1.17115,0.37853,0.96275,0.95694,0.92558,0.95234,0.87672,0.95354,0.92092,0.94438,0.83534,0.42161,1.1763,0.26535,0.91731,0.005446,0.005446,0.005446
71,10357.2,0.51917,1.1689,0.37824,0.96361,0.95904,0.92478,0.95269,0.87934,0.95486,0.92218,0.94495,0.83566,0.42009,1.17485,0.26487,0.91611,0.00538,0.00538,0.00538
